id,output,visibility
13319,1-7-2,private
13320,0-8-3,private
13321,1-9-4,private
13322,1-8-0,private
13323,1-8-0,private
13324,0-8-3,public
13325,1-7-3,public
13326,1-8-3,private
13327,1-6-3,public
13328,0-8-2,private
13329,1-7-2,private
13330,1-9-1,public
13331,0-7-0,private
13332,0-7-2,private
13333,0-5-2,private
13334,0-9-1,public
13335,0-7-0,public
13336,1-7-1,public
13337,1-6-3,private
13338,0-5-1,public
13339,0-8-2,public
13340,1-7-1,public
13341,1-5-3,private
13342,0-7-0,private
13343,1-8-4,public
13344,1-7-4,private
13345,0-5-1,private
13346,0-7-1,private
13347,0-3-2,private
13348,0-8-3,private
13349,0-9-1,private
13350,1-9-2,private
13351,0-7-3,private
13352,0-8-0,private
13353,1-8-3,public
13354,1-8-0,private
13355,1-5-1,public
13356,1-8-1,private
13357,0-8-3,private
13358,0-8-2,private
13359,1-8-3,public
13360,1-6-3,private
13361,0-8-4,public
13362,0-7-2,private
13363,1-8-1,private
13364,0-8-0,private
13365,0-5-0,public
13366,0-5-4,public
13367,0-8-3,private
13368,0-4-2,private
13369,0-8-2,private
13370,1-8-4,private
13371,1-9-0,private
13372,0-8-0,private
13373,0-8-3,private
13374,1-7-3,private
13375,0-8-4,private
13376,1-8-2,private
13377,0-5-2,public
13378,1-6-3,public
13379,0-8-2,public
13380,1-8-3,public
13381,0-7-3,private
13382,0-5-1,private
13383,0-5-0,private
13384,1-8-0,private
13385,1-9-0,public
13386,0-7-2,private
13387,0-9-3,private
13388,0-5-2,public
13389,0-9-1,public
13390,0-8-3,private
13391,1-6-1,public
13392,0-9-3,public
13393,1-9-0,private
13394,0-7-1,private
13395,0-8-0,private
13396,0-7-3,private
13397,0-8-0,private
13398,0-8-3,private
13399,0-7-2,public
13400,0-8-4,private
13401,0-4-1,public
13402,1-8-2,private
13403,1-8-2,private
13404,0-8-0,public
13405,0-9-3,private
13406,1-9-4,private
13407,0-7-2,private
13408,1-8-3,private
13409,0-9-2,private
13410,1-7-4,public
13411,0-4-1,public
13412,1-9-4,private
13413,0-9-4,private
13414,0-5-2,private
13415,1-7-2,private
13416,1-1-4,private
13417,0-7-2,private
13418,1-5-1,private
13419,0-7-4,private
13420,1-5-3,private
13421,0-8-0,public
13422,0-5-2,private
13423,1-5-0,public
13424,1-5-2,private
13425,0-5-0,public
13426,0-9-4,private
13427,1-8-2,private
13428,0-4-0,private
13429,1-5-2,public
13430,0-5-3,public
13431,1-8-2,public
13432,1-6-3,public
13433,1-8-1,private
13434,1-8-4,private
13435,0-7-1,public
13436,1-7-1,private
13437,1-8-2,private
13438,0-9-4,private
13439,1-4-1,public
13440,1-9-1,private
13441,1-8-4,public
13442,1-8-3,private
13443,0-9-0,private
13444,1-9-1,public
13445,0-8-0,private
13446,0-8-1,public
13447,0-5-4,private
13448,1-8-1,private
13449,1-8-3,private
13450,0-7-0,private
13451,0-7-2,public
13452,1-5-2,private
13453,0-8-0,private
13454,0-8-1,private
13455,0-9-1,private
13456,0-7-0,public
13457,1-8-1,private
13458,0-8-0,public
13459,0-7-0,private
13460,1-8-1,private
13461,1-8-4,private
13462,1-8-1,private
13463,0-9-4,private
13464,1-5-4,public
13465,1-5-4,private
13466,1-8-4,public
13467,1-8-2,public
13468,1-8-2,public
13469,1-8-4,private
13470,0-9-4,private
13471,0-7-2,public
13472,0-5-1,public
13473,1-8-3,private
13474,1-8-4,private
13475,1-7-0,public
13476,1-5-3,public
13477,0-8-1,private
13478,1-7-1,private
13479,1-8-2,private
13480,0-7-0,private
13481,1-9-1,private
13482,1-8-4,private
13483,1-9-1,private
13484,1-6-1,public
13485,1-7-3,private
13486,0-7-0,private
13487,0-9-0,private
13488,1-7-3,public
13489,1-5-0,public
13490,0-4-1,private
13491,0-8-3,private
13492,0-6-2,public
13493,0-7-3,private
13494,0-5-1,private
13495,1-7-0,public
13496,1-5-1,public
13497,1-5-2,private
13498,0-8-4,private
13499,0-8-2,private
13500,0-7-3,private
13501,1-8-3,private
13502,1-8-4,private
13503,0-5-1,private
13504,1-8-1,private
13505,1-5-3,public
13506,0-9-3,private
13507,1-7-4,public
13508,0-6-0,public
13509,1-9-1,private
13510,1-5-4,private
13511,1-7-2,private
13512,0-9-1,public
13513,0-8-1,private
13514,0-9-2,private
13515,1-8-0,private
13516,1-9-2,public
13517,1-8-1,private
13518,0-8-4,public
13519,1-8-1,public
13520,1-5-0,public
13521,1-8-1,private
13522,1-8-1,private
13523,1-8-2,private
13524,0-5-3,private
13525,1-6-3,private
13526,1-8-0,public
13527,0-5-1,private
13528,1-7-3,public
13529,1-5-1,private
13530,0-8-4,private
13531,1-3-3,public
13532,0-8-2,private
13533,0-7-1,private
13534,1-7-2,private
13535,0-8-3,public
13536,1-8-1,public
13537,0-5-1,private
13538,1-8-2,private
13539,1-8-1,private
13540,1-6-1,public
13541,0-8-2,private
13542,0-7-0,private
13543,1-8-1,private
13544,1-9-3,public
13545,0-8-0,private
13546,0-8-2,public
13547,1-9-0,private
13548,1-8-2,public
13549,0-8-4,private
13550,0-7-4,private
13551,0-8-0,private
13552,0-8-2,private
13553,0-8-4,private
13554,1-8-2,private
13555,0-4-3,public
13556,0-6-2,private
13557,1-5-0,public
13558,0-6-0,public
13559,0-5-0,private
13560,0-7-2,private
13561,1-7-4,private
13562,1-7-2,public
13563,1-8-1,public
13564,0-8-1,public
13565,0-7-2,public
13566,1-5-4,public
13567,1-9-4,private
13568,0-4-2,private
13569,0-6-2,private
13570,0-7-3,private
13571,1-8-4,public
13572,1-8-0,public
13573,1-8-1,public
13574,0-8-4,private
13575,0-7-2,public
13576,1-3-3,public
13577,0-4-0,private
13578,0-8-1,private
13579,0-8-2,private
13580,1-5-3,private
13581,0-8-1,public
13582,0-8-1,private
13583,0-5-0,public
13584,0-9-3,public
13585,0-7-3,private
13586,0-8-4,private
13587,0-7-2,private
13588,0-8-4,public
13589,1-9-2,private
13590,1-8-4,private
13591,1-8-3,public
13592,0-6-1,public
13593,0-7-1,private
13594,1-8-1,private
13595,0-9-4,public
13596,0-7-2,private
13597,1-6-2,private
13598,1-8-2,private
13599,0-9-0,private
13600,0-7-0,private
13601,1-5-0,private
13602,1-3-1,public
13603,1-7-3,public
13604,0-8-0,private
13605,1-6-0,public
13606,1-8-4,private
13607,1-8-1,private
13608,1-6-0,public
13609,0-9-2,public
13610,0-4-0,public
13611,1-6-2,private
13612,0-8-4,private
13613,0-8-2,private
13614,1-5-0,public
13615,0-8-2,private
13616,1-9-3,private
13617,0-8-1,public
13618,0-8-0,private
13619,0-5-3,private
13620,0-7-2,public
13621,0-9-1,private
13622,0-5-4,private
13623,1-7-1,private
13624,1-5-3,public
13625,0-8-3,public
13626,1-8-1,public
13627,0-8-1,public
13628,0-8-3,private
13629,0-7-0,private
13630,0-5-3,private
13631,0-8-4,private
13632,0-8-0,private
13633,0-8-1,private
13634,1-7-3,private
13635,1-4-0,private
13636,0-9-1,private
13637,0-7-4,public
13638,1-5-4,private
13639,1-5-3,private
13640,0-7-1,private
13641,0-8-3,private
13642,1-8-1,private
13643,1-8-0,private
13644,1-9-3,private
13645,0-7-0,private
13646,0-8-4,private
13647,0-7-3,private
13648,1-8-0,private
13649,1-5-2,private
13650,0-8-4,private
13651,0-6-2,private
13652,0-5-1,private
13653,1-8-3,private
13654,1-6-4,private
13655,1-8-4,private
13656,0-7-2,private
13657,1-8-0,private
13658,0-7-2,public
13659,1-8-3,public
13660,1-8-1,public
13661,0-5-4,private
13662,0-8-0,public
13663,1-5-3,private
13664,0-8-0,private
13665,0-7-4,private
13666,1-3-2,private
13667,1-6-3,public
13668,1-7-4,public
13669,1-8-1,private
13670,0-8-0,private
13671,1-9-4,private
13672,1-7-3,private
13673,0-4-1,public
13674,1-3-2,private
13675,1-7-0,private
13676,1-8-3,public
13677,1-8-3,public
13678,1-4-4,public
13679,1-9-2,public
13680,0-8-0,private
13681,1-9-2,private
13682,1-2-0,private
13683,1-7-3,private
13684,1-5-2,private
13685,0-8-4,public
13686,1-8-0,private
13687,1-9-2,public
13688,1-8-2,private
13689,1-9-4,public
13690,0-8-4,private
13691,0-5-3,private
13692,1-5-2,public
13693,0-4-3,private
13694,1-5-0,private
13695,1-7-4,private
13696,1-9-1,private
13697,0-8-3,public
13698,1-8-4,private
13699,1-8-3,public
13700,1-4-0,private
13701,1-8-2,public
13702,0-7-0,private
13703,1-8-2,private
13704,0-8-2,private
13705,1-4-3,private
13706,1-8-1,public
13707,0-7-4,private
13708,0-8-3,private
13709,0-8-0,private
13710,1-7-1,private
13711,0-9-3,public
13712,1-7-2,private
13713,0-8-1,private
13714,1-9-4,public
13715,1-3-3,private
13716,0-8-1,private
13717,0-7-3,public
13718,1-5-0,private
13719,0-8-4,private
13720,0-5-0,private
13721,0-8-3,private
13722,1-5-2,public
13723,0-9-4,private
13724,0-8-0,private
13725,1-4-4,public
13726,1-8-4,private
13727,0-5-2,public
13728,1-5-3,private
13729,1-9-3,private
13730,1-8-0,private
13731,1-8-3,private
13732,1-9-1,private
13733,1-7-3,private
13734,0-7-4,public
13735,0-8-2,public
13736,0-8-1,public
13737,0-9-3,public
13738,0-5-0,private
13739,1-9-2,private
13740,1-8-2,public
13741,1-7-0,public
13742,1-4-3,public
13743,1-5-4,public
13744,0-8-4,private
13745,1-9-0,private
13746,1-8-0,private
13747,0-8-2,private
13748,0-8-1,private
13749,0-6-1,private
13750,1-6-1,private
13751,1-8-0,private
13752,1-5-3,private
13753,1-5-2,public
13754,0-8-0,private
13755,0-8-0,private
13756,1-8-2,private
13757,1-7-1,private
13758,1-7-1,public
13759,1-8-3,private
13760,0-9-3,public
13761,1-8-0,private
13762,1-8-4,private
13763,1-9-1,private
13764,0-8-3,private
13765,1-8-4,private
13766,1-8-4,public
13767,1-8-0,private
13768,0-5-0,private
13769,0-8-1,private
13770,1-8-2,public
13771,0-8-4,private
13772,1-0-1,public
13773,1-8-4,public
13774,0-7-0,private
13775,1-7-4,private
13776,1-5-2,private
13777,0-7-2,private
13778,1-8-1,private
13779,0-8-4,public
13780,0-7-0,private
13781,0-7-3,private
13782,0-7-4,private
13783,1-8-1,private
13784,0-8-3,private
13785,1-8-1,public
13786,0-5-2,private
13787,1-7-3,public
13788,1-5-0,public
13789,0-8-3,private
13790,1-8-1,private
13791,0-3-2,private
13792,0-5-0,private
13793,0-5-1,private
13794,1-9-2,private
13795,1-6-3,private
13796,0-8-1,private
13797,1-8-0,private
13798,0-7-1,private
13799,1-7-0,private
13800,1-5-2,private
13801,0-8-2,private
13802,0-8-2,public
13803,0-7-2,private
13804,1-7-2,private
13805,1-8-4,private
13806,0-9-0,private
13807,0-8-3,private
13808,1-7-1,private
13809,0-7-2,private
13810,0-8-0,public
13811,1-9-2,public
13812,0-5-0,public
13813,0-8-0,private
13814,0-7-1,private
13815,0-9-3,private
13816,1-7-1,private
13817,1-5-1,public
13818,0-7-0,private
13819,1-9-1,private
13820,1-9-1,private
13821,1-7-1,public
13822,0-9-1,private
13823,0-8-4,private
13824,0-6-0,public
13825,1-6-4,private
13826,1-8-4,public
13827,0-3-3,private
13828,0-8-2,private
13829,1-3-1,private
13830,1-8-3,public
13831,0-8-3,private
13832,1-6-0,private
13833,0-8-4,public
13834,1-8-1,private
13835,0-5-2,public
13836,1-7-0,private
13837,0-7-3,private
13838,0-8-4,private
13839,1-8-0,private
13840,0-7-1,public
13841,0-8-1,private
13842,0-8-2,private
13843,0-9-1,private
13844,0-8-2,private
13845,1-8-2,private
13846,1-7-2,public
13847,1-6-2,private
13848,1-8-2,private
13849,0-3-2,private
13850,1-9-0,public
13851,0-7-1,public
13852,1-8-1,private
13853,1-8-1,private
13854,1-8-4,private
13855,0-5-0,private
13856,0-5-3,public
13857,0-8-4,public
13858,0-6-1,private
13859,1-8-1,private
13860,0-5-1,private
13861,1-6-1,public
13862,0-8-2,private
13863,1-7-1,public
13864,1-5-1,public
13865,0-7-0,private
13866,0-8-2,private
13867,0-7-3,public
13868,0-5-0,public
13869,0-7-2,private
13870,1-7-1,private
13871,1-6-2,private
13872,0-8-1,public
13873,1-5-1,public
13874,0-8-2,public
13875,1-8-0,private
13876,1-7-2,private
13877,1-6-4,public
13878,0-8-2,private
13879,1-5-2,private
13880,0-7-4,public
13881,1-5-3,private
13882,0-7-3,private
13883,1-8-1,private
13884,0-7-3,public
13885,0-6-3,public
13886,1-8-2,private
13887,0-5-4,public
13888,1-7-4,private
13889,0-4-1,public
13890,0-7-1,public
13891,1-9-3,private
13892,1-9-2,private
13893,0-8-2,private
13894,1-8-4,private
13895,0-7-1,public
13896,0-9-1,private
13897,1-8-1,private
13898,0-5-3,private
13899,0-8-2,public
13900,0-6-2,public
13901,1-8-1,private
13902,0-8-1,private
13903,1-8-1,private
13904,1-8-0,public
13905,0-7-3,private
13906,0-9-1,public
13907,0-3-3,private
13908,0-8-4,private
13909,0-7-2,private
13910,0-7-3,private
13911,1-7-3,private
13912,0-4-0,private
13913,1-8-0,private
13914,0-8-4,public
13915,1-7-1,public
13916,1-5-1,public
13917,0-3-2,private
13918,1-8-4,private
13919,1-8-2,private
13920,0-5-0,private
13921,0-7-4,private
13922,0-7-0,private
13923,1-9-2,private
13924,1-8-1,private
13925,1-7-3,private
13926,0-7-2,private
13927,1-9-3,private
13928,1-8-2,public
13929,0-8-1,public
13930,0-8-0,private
13931,1-7-4,private
13932,0-6-2,private
13933,1-8-0,private
13934,0-5-0,public
13935,0-7-4,public
13936,0-5-1,private
13937,0-8-0,private
13938,0-2-3,public
13939,0-9-1,private
13940,0-7-4,public
13941,1-9-0,private
13942,1-8-1,private
13943,1-9-3,private
13944,0-5-0,public
13945,1-6-3,public
13946,1-4-0,private
13947,1-7-1,public
13948,1-3-4,private
13949,1-7-3,private
13950,0-5-3,private
13951,1-8-0,public
13952,0-4-4,private
13953,0-8-1,private
13954,0-6-2,public
13955,0-8-1,public
13956,1-5-4,private
13957,0-8-2,private
13958,0-5-2,private
13959,1-9-0,private
13960,1-6-4,public
13961,1-5-1,private
13962,1-7-3,public
13963,1-7-2,private
13964,1-7-2,private
13965,0-5-1,private
13966,1-8-3,private
13967,0-9-2,private
13968,1-3-2,public
13969,0-9-4,private
13970,0-8-2,public
13971,1-8-1,private
13972,0-3-2,private
13973,0-5-4,public
13974,0-7-0,private
13975,1-7-4,public
13976,0-9-0,private
13977,0-5-1,private
13978,1-8-3,private
13979,1-9-0,private
13980,0-8-0,private
13981,1-8-4,private
13982,1-5-1,public
13983,0-3-4,private
13984,0-8-4,public
13985,1-8-2,private
13986,1-8-2,private
13987,0-8-0,private
13988,0-9-4,private
13989,0-6-4,public
13990,0-8-2,private
13991,1-8-0,private
13992,1-8-3,private
13993,1-9-3,public
13994,0-5-4,private
13995,0-5-4,private
13996,0-3-2,private
13997,1-5-3,private
13998,0-7-1,private
13999,0-6-1,private
14000,0-8-0,private
14001,1-6-1,private
14002,0-5-0,private
14003,0-3-1,public
14004,1-7-1,private
14005,0-4-1,private
14006,0-3-2,private
14007,1-8-4,public
14008,0-8-2,private
14009,0-6-4,private
14010,1-9-2,public
14011,1-4-0,public
14012,1-5-3,private
14013,0-8-4,public
14014,0-8-0,private
14015,1-8-0,public
14016,0-5-2,public
14017,0-6-2,public
14018,1-4-3,public
14019,1-7-3,private
14020,0-5-3,public
14021,0-7-0,private
14022,1-8-2,public
14023,0-5-3,private
14024,1-8-3,private
14025,0-7-1,private
14026,1-8-3,private
14027,1-4-2,private
14028,1-6-2,private
14029,1-8-0,public
14030,1-8-3,private
14031,0-8-2,private
14032,1-7-3,private
14033,1-8-1,public
14034,0-7-2,private
14035,1-5-4,public
14036,1-4-4,private
14037,0-8-0,public
14038,0-7-3,private
14039,1-3-1,private
14040,0-8-3,private
14041,0-8-2,private
14042,1-7-4,private
14043,0-7-0,private
14044,1-7-4,public
14045,0-6-2,private
14046,1-8-3,private
14047,1-7-4,public
14048,0-5-0,public
14049,1-8-2,private
14050,0-6-4,private
14051,1-9-0,private
14052,1-8-4,private
14053,1-9-4,private
14054,1-7-1,public
14055,0-8-2,private
14056,0-9-4,private
14057,1-8-2,public
14058,1-8-4,private
14059,1-9-1,private
14060,1-9-1,private
14061,0-9-4,private
14062,1-5-0,private
14063,0-8-0,private
14064,0-8-3,private
14065,0-7-1,private
14066,0-4-0,private
14067,0-4-2,private
14068,1-4-2,private
14069,0-7-1,private
14070,0-8-3,private
14071,0-7-4,private
14072,1-5-4,public
14073,0-9-4,public
14074,1-3-0,private
14075,0-8-2,private
14076,0-8-3,public
14077,1-5-2,public
14078,1-7-3,private
14079,0-8-3,public
14080,0-8-4,private
14081,1-8-2,private
14082,1-8-0,public
14083,1-8-4,private
14084,0-7-3,private
14085,1-4-2,public
14086,1-6-4,private
14087,1-8-3,private
14088,0-8-1,private
14089,0-8-0,private
14090,0-5-4,private
14091,0-9-3,private
14092,1-5-4,public
14093,1-5-1,private
14094,0-8-1,private
14095,0-7-3,private
14096,1-9-4,private
14097,0-9-0,private
14098,1-3-1,private
14099,0-5-0,public
14100,0-4-4,private
14101,1-4-1,private
14102,1-8-3,private
14103,0-8-1,public
14104,1-9-2,private
14105,1-3-4,private
14106,1-7-1,private
14107,0-9-2,public
14108,0-8-2,private
14109,1-5-1,private
14110,1-9-3,private
14111,1-8-2,private
14112,1-7-1,private
14113,1-9-0,private
14114,0-8-4,private
14115,0-8-1,private
14116,0-8-3,public
14117,1-3-2,private
14118,1-5-1,public
14119,1-7-4,private
14120,0-8-2,public
14121,1-8-3,private
14122,0-7-4,private
14123,1-8-2,private
14124,1-8-0,public
14125,0-5-0,private
14126,0-3-2,private
14127,1-8-3,private
14128,1-6-3,private
14129,0-7-3,private
14130,0-6-2,private
14131,0-9-1,private
14132,0-9-3,public
14133,0-8-0,private
14134,1-5-3,public
14135,0-8-3,private
14136,1-8-2,public
14137,0-8-4,private
14138,0-7-2,public
14139,1-8-3,private
14140,0-5-0,private
14141,0-7-0,public
14142,1-8-3,private
14143,1-7-4,public
14144,1-5-3,private
14145,0-7-3,public
14146,0-8-2,public
14147,0-7-0,private
14148,0-5-3,private
14149,1-8-0,public
14150,0-8-0,private
14151,1-5-3,public
14152,0-5-3,private
14153,0-8-1,private
14154,1-5-3,private
14155,1-8-3,private
14156,0-8-3,private
14157,1-9-1,private
14158,0-5-3,private
14159,1-9-3,private
14160,0-5-3,public
14161,1-8-1,public
14162,0-7-3,private
14163,0-5-4,private
14164,1-9-0,private
14165,1-7-3,private
14166,0-8-1,private
14167,0-3-4,public
14168,0-5-2,public
14169,0-8-0,private
14170,0-8-2,private
14171,1-8-4,private
14172,1-4-1,private
14173,0-5-4,public
14174,1-5-2,private
14175,0-8-3,private
14176,1-9-4,public
14177,0-7-4,private
14178,1-9-3,private
14179,0-7-2,private
14180,1-7-4,private
14181,0-3-4,public
14182,1-7-4,private
14183,0-8-2,public
14184,1-9-2,private
14185,1-7-3,private
14186,1-7-0,private
14187,0-8-3,private
14188,1-5-2,private
14189,1-7-3,private
14190,1-7-0,public
14191,1-9-1,public
14192,0-9-3,private
14193,0-7-2,private
14194,0-9-3,private
14195,1-5-3,public
14196,1-8-3,private
14197,0-7-2,private
14198,1-9-2,public
14199,1-7-2,private
14200,0-8-0,public
14201,1-8-3,private
14202,1-8-2,private
14203,1-9-1,private
14204,1-5-3,private
14205,1-7-4,private
14206,1-8-4,private
14207,0-9-0,private
14208,1-5-3,private
14209,0-8-2,public
14210,1-8-2,public
14211,1-7-4,private
14212,0-8-2,private
14213,0-8-0,private
14214,0-9-0,public
14215,0-7-3,public
14216,0-8-4,private
14217,1-8-4,public
14218,1-6-2,private
14219,0-7-2,private
14220,1-7-1,private
14221,1-8-1,private
14222,0-5-2,public
14223,1-6-4,public
14224,0-9-0,private
14225,1-7-1,private
14226,1-7-0,private
14227,1-8-0,private
14228,1-8-1,private
14229,0-8-2,private
14230,0-8-1,private
14231,1-7-3,private
14232,0-8-1,private
14233,1-7-0,private
14234,1-9-0,private
14235,1-8-4,public
14236,0-8-2,private
14237,0-3-4,private
14238,1-4-3,private
14239,0-8-3,private
14240,1-8-3,private
14241,1-8-1,public
14242,0-9-2,private
14243,1-5-3,public
14244,1-8-4,public
14245,0-9-4,private
14246,0-4-2,private
14247,1-8-4,private
14248,0-8-1,private
14249,1-8-1,private
14250,0-3-4,private
14251,0-7-1,private
14252,1-5-0,public
14253,1-8-2,private
14254,0-5-4,private
14255,0-8-2,private
14256,1-7-0,public
14257,0-9-3,private
14258,1-8-0,private
14259,0-6-4,public
14260,1-8-1,private
14261,1-8-3,public
14262,1-8-0,private
14263,0-3-4,private
14264,0-8-0,private
14265,0-5-0,private
14266,0-5-2,private
14267,1-5-0,private
14268,1-8-4,private
14269,1-4-4,private
14270,1-9-0,private
14271,0-8-3,private
14272,0-7-3,private
14273,1-6-4,public
14274,1-9-0,private
14275,0-7-3,private
14276,0-6-2,private
14277,0-4-3,private
14278,1-7-1,private
14279,0-7-2,public
14280,1-8-1,private
14281,1-9-1,private
14282,0-6-4,private
14283,0-7-0,private
14284,0-5-4,private
14285,1-9-3,private
14286,1-9-0,private
14287,1-6-4,public
14288,1-8-1,private
14289,0-8-4,private
14290,0-8-0,private
14291,0-8-4,public
14292,1-8-4,private
14293,0-8-0,public
14294,0-8-0,private
14295,0-7-2,private
14296,0-8-3,private
14297,0-5-2,private
14298,1-5-2,private
14299,1-3-1,public
14300,0-5-0,private
14301,0-8-0,private
14302,1-6-1,private
14303,0-7-1,private
14304,1-7-0,private
14305,0-5-1,private
14306,0-5-3,public
14307,1-8-1,private
14308,0-8-0,public
14309,1-8-4,private
14310,0-7-3,public
14311,0-7-2,private
14312,1-5-4,private
14313,0-9-0,public
14314,0-7-2,public
14315,1-9-4,private
14316,1-8-1,private
14317,0-5-3,private
14318,1-5-1,private
14319,1-8-1,public
14320,0-8-4,public
14321,0-3-3,public
14322,1-9-2,private
14323,0-5-3,private
14324,1-6-3,public
14325,1-6-4,private
14326,0-9-2,public
14327,0-6-2,private
14328,1-8-1,public
14329,0-7-0,public
14330,0-8-1,private
14331,1-7-2,private
14332,1-9-0,private
14333,0-5-3,private
14334,1-4-1,private
14335,0-8-2,private
14336,0-8-3,private
14337,1-3-2,public
14338,0-8-0,public
14339,0-8-2,private
14340,1-8-1,private
14341,1-5-2,private
14342,0-7-1,private
14343,1-8-1,private
14344,1-8-0,public
14345,1-8-0,private
14346,0-8-2,public
14347,0-8-0,public
14348,1-9-3,private
14349,1-7-3,private
14350,1-5-2,private
14351,1-7-0,public
14352,1-3-3,public
14353,0-8-0,private
14354,1-4-3,private
14355,0-8-2,public
14356,0-8-1,private
14357,1-5-1,private
14358,0-7-3,public
14359,1-9-2,public
14360,1-8-3,public
14361,1-7-2,public
14362,0-3-4,private
14363,0-5-2,private
14364,0-7-2,private
14365,1-9-2,public
14366,0-7-0,public
14367,0-9-0,private
14368,0-8-4,private
14369,1-7-0,private
14370,1-9-1,private
14371,0-8-0,private
14372,0-8-2,private
14373,0-7-1,private
14374,1-9-2,private
14375,1-7-0,private
14376,1-7-4,public
14377,0-8-0,public
14378,1-7-0,private
14379,1-7-1,private
14380,0-3-1,private
14381,1-8-4,private
14382,1-8-2,private
14383,0-6-1,public
14384,0-9-1,private
14385,0-9-3,private
14386,0-9-4,public
14387,0-5-0,private
14388,0-7-3,private
14389,1-8-0,private
14390,1-8-2,private
14391,1-4-2,private
14392,0-3-3,public
14393,0-8-1,public
14394,0-7-0,public
14395,1-8-1,private
14396,1-8-0,public
14397,0-7-2,private
14398,0-8-3,private
14399,1-8-2,private
14400,0-3-0,private
14401,0-3-2,private
14402,1-8-3,private
14403,0-5-4,private
14404,1-9-1,private
14405,0-8-3,private
14406,1-6-4,private
14407,0-8-0,public
14408,0-8-0,private
14409,0-5-3,private
14410,0-9-3,private
14411,0-8-4,private
14412,1-8-4,public
14413,1-8-1,private
14414,1-9-2,private
14415,1-5-0,private
14416,0-6-0,public
14417,1-8-2,private
14418,1-8-0,private
14419,0-7-1,private
14420,0-7-1,private
14421,0-4-3,private
14422,1-8-4,private
14423,0-8-0,private
14424,1-5-0,private
14425,0-8-4,public
14426,1-8-2,private
14427,0-8-3,public
14428,0-8-3,public
14429,1-7-1,private
14430,1-9-4,private
14431,0-8-4,private
14432,0-8-3,public
14433,0-7-2,public
14434,1-8-3,private
14435,1-9-0,public
14436,0-9-3,private
14437,0-9-0,private
14438,0-5-3,public
14439,0-8-2,private
14440,1-6-4,public
14441,1-9-3,private
14442,0-7-3,private
14443,0-8-2,public
14444,1-8-4,public
14445,0-8-3,private
14446,0-8-1,public
14447,0-5-1,private
14448,1-5-3,public
14449,0-8-3,private
14450,1-5-3,private
14451,0-4-0,private
14452,0-7-1,public
14453,1-8-0,private
14454,1-8-4,private
14455,1-8-1,private
14456,1-8-3,private
14457,1-9-4,private
14458,1-8-4,private
14459,1-6-2,private
14460,0-7-4,public
14461,1-8-3,public
14462,0-5-3,public
14463,0-8-3,public
14464,1-8-4,private
14465,1-7-4,private
14466,0-9-4,private
14467,1-8-2,private
14468,0-9-3,private
14469,0-8-1,private
14470,0-8-0,private
14471,1-8-1,private
14472,0-8-3,private
14473,0-8-1,private
14474,0-7-4,public
14475,0-7-4,private
14476,1-7-1,public
14477,0-8-0,private
14478,1-4-1,private
14479,1-9-2,private
14480,1-7-1,private
14481,0-5-0,private
14482,0-9-1,private
14483,1-7-2,private
14484,1-5-0,public
14485,0-7-2,private
14486,1-8-2,public
14487,0-6-3,private
14488,1-8-2,public
14489,1-8-2,private
14490,1-7-4,private
14491,0-9-4,public
14492,1-8-4,private
14493,1-8-0,public
14494,0-8-2,public
14495,0-3-0,private
14496,0-9-0,private
14497,0-8-4,private
14498,0-8-1,private
14499,0-5-0,private
14500,0-8-3,private
14501,1-7-3,private
14502,0-8-2,private
14503,0-8-1,public
14504,0-9-3,private
14505,0-9-2,private
14506,0-8-3,private
14507,0-7-3,private
14508,1-9-2,private
14509,0-6-3,private
14510,1-9-1,private
14511,1-9-4,public
14512,0-3-1,private
14513,1-7-3,private
14514,0-8-4,private
14515,0-7-0,private
14516,0-8-4,private
14517,1-8-1,private
14518,1-8-3,private
14519,0-8-4,public
14520,1-6-4,private
14521,0-8-3,private
14522,0-7-1,public
14523,1-8-2,private
14524,1-9-1,private
14525,1-5-2,public
14526,1-5-1,private
14527,0-8-0,private
14528,1-7-2,private
14529,0-9-3,private
14530,0-8-3,public
14531,0-8-1,private
14532,0-8-0,private
14533,0-7-0,public
14534,0-7-1,private
14535,0-7-1,public
14536,0-7-3,public
14537,0-7-0,public
14538,0-8-2,private
14539,0-9-1,private
14540,1-8-3,private
14541,1-8-3,private
14542,1-8-2,public
14543,1-9-1,private
14544,0-9-4,private
14545,1-8-2,public
14546,1-7-0,private
14547,1-7-4,private
14548,0-3-3,private
14549,0-8-1,private
14550,1-8-1,private
14551,0-8-4,private
14552,1-7-0,private
14553,1-7-4,private
14554,1-5-3,private
14555,1-5-0,private
14556,1-7-0,public
14557,1-9-1,private
14558,1-8-1,private
14559,1-8-4,private
14560,1-9-1,private
14561,0-9-1,private
14562,1-8-0,private
14563,1-7-2,private
14564,1-8-0,private
14565,0-7-2,public
14566,0-9-3,private
14567,0-9-0,private
14568,0-8-4,private
14569,0-7-1,private
14570,0-7-3,private
14571,0-8-4,private
14572,1-8-4,private
14573,0-8-3,private
14574,0-3-2,private
14575,1-5-3,private
14576,1-8-1,private
14577,1-8-4,public
14578,0-8-1,private
14579,1-8-0,public
14580,1-8-1,private
14581,0-8-0,public
14582,1-8-3,public
14583,0-8-2,public
14584,1-7-2,private
14585,0-8-1,private
14586,0-5-1,private
14587,1-7-2,public
14588,0-8-1,private
14589,1-8-0,private
14590,1-7-0,private
