id,input_tokens,feat_1,feat_2,feat_3,priority,output
1022,T_28 T_25 T_08 T_19,-0.024,62.87,0.344,3,1-6-3
1023,T_33 T_19 T_20 T_28,2.142,91.45,6.129,3,0-9-0
1024,T_07 T_28 T_37 T_19,1.728,3.62,1.843,2,1-1-3
1025,T_09 T_19 T_28 T_17,0.436,24.37,2.031,3,1-4-3
1026,T_19 T_13 T_17 T_23 T_28,0.038,19.37,6.172,1,1-1-1
1027,T_24 T_19 T_37 T_28 T_33,0.12,50.23,0.524,2,0-7-0
1028,T_31 T_28 T_37 T_14 T_19,0.614,42.97,0.012,5,1-5-0
1029,T_11 T_08 T_19 T_28,-1.023,72.9,1.827,4,1-7-1
1030,T_29 T_19 T_17 T_28,-0.257,24.24,1.418,4,0-8-4
1031,T_19 T_21 T_28 T_35,-1.669,59.45,1.299,5,0-1-4
1032,T_28 T_14 T_37 T_19 T_27,0.399,88.39,0.128,3,1-5-1
1033,T_19 T_34 T_22 T_28,0.647,91.07,1.212,1,0-1-4
1034,T_28 T_19 T_37 T_12,-0.483,95.88,0.678,1,0-7-4
1035,T_19 T_06 T_16 T_37,1.574,77.33,0.642,1,0-5-0
1036,T_16 T_21 T_33 T_20 T_19,-1.226,90.6,0.503,1,0-9-4
1037,T_19 T_17 T_16 T_33 T_07,-1.464,23.45,0.809,3,1-5-2
1038,T_16 T_19 T_09 T_14,0.224,19.76,0.871,5,1-5-2
1039,T_16 T_19 T_37 T_14 T_23,1.047,0.65,0.739,5,1-5-0
1040,T_19 T_16 T_31 T_21,1.684,70.68,7.703,4,1-5-4
1041,T_29 T_19 T_21 T_13 T_16,-0.459,93.75,5.398,5,0-8-3
1042,T_16 T_35 T_19 T_14,1.079,18.69,1.709,1,0-5-3
1043,T_27 T_14 T_19 T_16,-0.039,63.69,7.932,3,1-5-0
1044,T_19 T_34 T_16 T_22,-0.173,74.65,9.466,2,0-5-3
1045,T_19 T_32 T_08 T_16,0.884,92.76,0.88,2,0-5-0
1046,T_12 T_16 T_13 T_01 T_19,0.652,64.69,1.178,1,0-7-3
1047,T_00 T_19 T_01 T_16 T_37,-1.576,97.03,6.391,4,0-5-3
1048,T_25 T_06 T_01 T_19 T_37,1.477,34.47,1.876,2,0-6-3
1049,T_19 T_06 T_20 T_01 T_08,1.38,34.99,0.479,1,1-9-0
1050,T_19 T_06 T_21 T_07,-0.626,54.3,2.338,3,0-1-3
1051,T_19 T_05 T_09 T_06,0.396,38.35,0.461,2,0-4-3
1052,T_06 T_37 T_24 T_19,0.494,0.14,0.829,1,1-7-0
1053,T_19 T_31 T_13 T_17 T_06,0.261,73.18,0.516,2,0-5-0
1054,T_26 T_06 T_19 T_17,-0.55,75.17,0.562,3,0-4-3
1055,T_05 T_06 T_19 T_18,-0.672,74.7,0.009,5,0-8-4
1056,T_33 T_19 T_11 T_06,-0.026,34.5,4.252,5,0-7-1
1057,T_19 T_01 T_06 T_34 T_14,1.173,52.23,0.702,3,1-1-4
1058,T_19 T_32 T_33 T_06,0.544,36.0,0.181,3,1-3-1
1059,T_05 T_06 T_19 T_08 T_12,-0.371,1.6,0.182,5,1-7-4
1060,T_19 T_20 T_17 T_25,0.772,56.24,1.624,3,0-9-2
1061,T_25 T_07 T_14 T_19,-2.849,12.38,9.901,3,1-6-0
1062,T_25 T_19 T_17 T_09,1.149,8.0,0.313,3,1-6-0
1063,T_25 T_13 T_23 T_19 T_14,-1.74,75.55,0.21,5,1-6-3
1064,T_22 T_13 T_24 T_19 T_25,-0.362,0.95,1.154,5,0-7-2
1065,T_19 T_31 T_01 T_25 T_05,-1.12,95.9,1.657,2,1-6-2
1066,T_14 T_18 T_25 T_21 T_19,-1.295,51.53,0.697,5,1-8-1
1067,T_25 T_08 T_11 T_22 T_19,1.161,98.3,0.721,2,1-7-3
1068,T_25 T_21 T_29 T_19 T_05,-0.468,5.8,1.105,5,0-8-1
1069,T_25 T_35 T_08 T_22 T_19,0.347,58.35,0.754,4,0-6-1
1070,T_27 T_37 T_19 T_25,-0.047,34.93,4.938,2,1-6-3
1071,T_19 T_32 T_25 T_13,0.477,84.35,0.086,3,0-6-3
1072,T_33 T_12 T_19 T_25,0.077,36.12,0.535,4,0-7-1
1073,T_05 T_25 T_00 T_19,-1.283,26.05,3.306,5,0-6-1
1074,T_07 T_20 T_08 T_19,0.996,85.76,3.591,5,0-9-2
1075,T_09 T_17 T_08 T_20 T_19,-0.494,37.47,0.237,4,0-9-2
1076,T_20 T_21 T_23 T_14 T_19,-1.557,1.68,7.281,1,0-9-0
1077,T_19 T_20 T_08 T_24,-0.428,39.03,2.364,3,1-9-4
1078,T_20 T_14 T_31 T_19 T_08,1.501,65.45,0.637,2,0-9-4
1079,T_01 T_19 T_20 T_26,0.85,25.44,1.218,4,0-9-2
1080,T_19 T_18 T_37 T_20,-0.349,43.2,0.705,2,0-9-3
1081,T_11 T_13 T_19 T_20 T_05,-0.349,5.67,0.325,5,0-9-0
1082,T_20 T_29 T_05 T_19,-0.322,58.81,0.688,1,1-9-3
1083,T_17 T_35 T_20 T_22 T_19,2.077,75.63,1.735,1,1-9-3
1084,T_20 T_21 T_27 T_19 T_17,0.382,41.33,3.497,2,0-9-0
1085,T_19 T_34 T_20 T_14,0.43,42.02,0.904,5,1-9-3
1086,T_20 T_13 T_32 T_19,1.03,8.83,0.855,1,1-9-0
1087,T_19 T_20 T_12 T_21 T_13,0.239,20.19,1.262,3,1-9-3
1088,T_00 T_05 T_20 T_19,-0.259,15.47,2.069,5,1-9-3
1089,T_19 T_08 T_14 T_23 T_07,-0.196,48.17,2.786,4,1-1-3
1090,T_05 T_07 T_31 T_14 T_19,-0.072,52.93,0.791,4,1-5-2
1091,T_19 T_22 T_07 T_26,-0.037,94.89,1.765,4,1-4-0
1092,T_19 T_21 T_18 T_07 T_17,0.728,7.32,0.986,3,1-8-1
1093,T_19 T_33 T_11 T_07,0.052,59.99,2.52,5,1-7-3
1094,T_29 T_19 T_07 T_37 T_01,0.733,52.65,0.36,2,0-8-1
1095,T_07 T_19 T_17 T_35,-0.081,51.62,0.594,2,0-1-1
1096,T_19 T_07 T_05 T_27,0.079,87.32,1.11,5,1-5-3
1097,T_19 T_08 T_34 T_07 T_33,-1.998,20.55,4.404,3,0-1-1
1098,T_07 T_32 T_17 T_21 T_19,0.916,4.08,1.703,5,0-3-3
1099,T_33 T_22 T_07 T_19 T_12,0.346,67.23,6.728,2,0-7-1
1100,T_19 T_13 T_00 T_08 T_07,0.998,34.52,0.218,5,0-2-1
1101,T_22 T_23 T_09 T_19,-2.896,1.76,1.233,4,1-4-3
1102,T_09 T_11 T_19 T_37,2.088,25.14,1.086,5,1-7-3
1103,T_09 T_29 T_05 T_19 T_13,-0.14,30.93,1.834,1,0-8-1
1104,T_09 T_19 T_01 T_37 T_35,1.108,61.68,3.342,5,0-4-1
1105,T_27 T_09 T_19 T_21,-1.04,17.26,3.683,2,1-5-3
1106,T_33 T_14 T_09 T_19 T_32,0.613,41.31,2.219,2,0-4-3
1107,T_21 T_12 T_09 T_19 T_08,-1.053,48.25,2.052,2,0-7-1
1108,T_09 T_05 T_19 T_00,-0.624,45.92,5.953,4,0-4-1
1109,T_19 T_08 T_24 T_23,1.914,97.39,0.968,2,0-7-0
1110,T_23 T_26 T_19 T_05,-0.191,4.55,3.577,1,1-4-3
1111,T_19 T_18 T_14 T_23,0.217,95.1,5.089,5,1-8-4
1112,T_23 T_22 T_19 T_33 T_29,0.87,58.19,1.353,3,0-8-4
1113,T_13 T_19 T_23 T_35,0.496,79.57,2.612,2,0-1-4
1114,T_37 T_27 T_19 T_23,0.15,43.04,0.946,5,1-5-1
1115,T_23 T_13 T_34 T_19,0.365,45.38,0.346,4,0-1-4
1116,T_14 T_23 T_32 T_19,2.403,87.93,1.766,5,0-3-1
1117,T_05 T_19 T_00 T_22 T_23,-0.058,89.59,0.437,2,0-2-4
1118,T_19 T_13 T_24 T_31,0.201,23.87,1.223,2,0-7-4
1119,T_26 T_19 T_05 T_24,1.051,19.92,4.125,2,0-7-2
1120,T_08 T_19 T_24 T_18,1.106,49.62,0.18,1,0-8-3
1121,T_19 T_11 T_01 T_05 T_24,1.187,90.03,0.062,5,0-7-0
1122,T_08 T_24 T_21 T_19 T_35,0.639,32.24,1.865,3,1-7-3
1123,T_24 T_27 T_19 T_01,-1.143,65.2,0.804,1,0-7-0
1124,T_24 T_19 T_13 T_17 T_32,1.633,70.82,1.082,3,1-7-0
1125,T_12 T_24 T_19 T_21,-1.146,77.87,1.041,2,1-7-3
1126,T_00 T_24 T_19 T_37 T_17,0.303,56.39,0.181,3,1-7-3
1127,T_14 T_31 T_26 T_13 T_19,-0.754,40.25,0.007,3,1-5-2
1128,T_08 T_18 T_31 T_19,-0.064,96.7,4.574,1,1-8-3
1129,T_19 T_29 T_01 T_31 T_21,0.329,61.13,0.491,1,0-8-3
1130,T_35 T_37 T_31 T_19,0.321,72.86,1.111,5,0-5-3
1131,T_33 T_05 T_31 T_19 T_27,0.422,34.5,7.146,3,1-5-0
1132,T_31 T_37 T_19 T_34,1.614,66.99,3.506,1,0-5-3
1133,T_32 T_19 T_21 T_01 T_31,0.454,25.78,0.228,5,0-5-0
1134,T_31 T_01 T_17 T_12 T_19,-0.244,24.51,1.421,3,0-7-3
1135,T_19 T_00 T_22 T_31,0.964,71.47,2.619,3,0-5-3
1136,T_26 T_14 T_13 T_18 T_19,1.189,52.14,2.397,2,1-8-1
1137,T_26 T_13 T_19 T_35,-1.228,68.33,2.861,1,0-4-1
1138,T_37 T_21 T_26 T_27 T_19,0.597,26.94,1.223,4,1-5-3
1139,T_34 T_33 T_19 T_26,0.701,59.87,0.387,1,0-4-1
1140,T_32 T_19 T_14 T_26,-0.298,44.39,1.251,2,0-4-3
1141,T_19 T_05 T_14 T_26 T_00,1.376,59.7,2.088,5,0-4-1
1142,T_33 T_19 T_18 T_13 T_29,-0.15,29.09,1.876,1,0-8-2
1143,T_18 T_01 T_14 T_27 T_19,0.126,71.55,0.146,3,1-8-4
1144,T_32 T_37 T_05 T_18 T_19,-0.173,80.59,0.134,4,0-8-4
1145,T_18 T_08 T_33 T_19 T_12,0.016,25.99,6.72,5,0-8-2
1146,T_29 T_08 T_11 T_19,-1.096,30.06,0.329,1,0-8-4
1147,T_37 T_11 T_35 T_22 T_19,-1.44,66.12,0.698,5,0-7-4
1148,T_19 T_27 T_11 T_13,1.595,69.56,2.919,3,1-7-1
1149,T_34 T_11 T_22 T_19,-0.847,70.41,1.054,4,0-7-4
1150,T_08 T_11 T_32 T_19,-0.991,68.27,0.4,3,0-7-1
1151,T_19 T_12 T_11 T_14,-2.153,39.28,1.259,4,0-7-4
1152,T_19 T_29 T_17 T_35,-0.639,39.49,1.683,5,1-8-2
1153,T_17 T_19 T_27 T_01 T_29,-1.323,25.48,1.206,1,0-8-4
1154,T_17 T_37 T_34 T_19 T_29,1.642,15.68,5.025,4,1-8-2
1155,T_05 T_29 T_08 T_32 T_19,1.01,69.26,0.67,3,1-8-4
1156,T_29 T_19 T_00 T_37 T_01,-0.688,9.32,2.165,4,1-8-2
1157,T_37 T_05 T_27 T_19 T_35,2.252,93.78,0.238,5,0-5-4
1158,T_35 T_05 T_19 T_34,0.982,82.67,0.996,5,1-1-2
1159,T_14 T_05 T_19 T_35 T_12,-0.325,85.75,2.702,5,1-7-2
1160,T_35 T_13 T_19 T_00 T_08,-2.499,90.67,0.509,1,1-2-2
1161,T_19 T_34 T_05 T_27,2.291,40.86,1.782,5,0-5-4
1162,T_19 T_32 T_27 T_22 T_14,-1.39,84.67,0.333,1,0-5-1
1163,T_12 T_19 T_27 T_33 T_17,-1.645,15.81,0.217,2,0-7-4
1164,T_19 T_00 T_27 T_01 T_08,1.023,2.16,1.481,4,0-5-4
1165,T_32 T_14 T_34 T_19,2.44,78.49,2.248,3,1-3-4
1166,T_19 T_17 T_34 T_00,1.384,7.48,0.241,1,1-2-2
1167,T_32 T_12 T_13 T_05 T_19,0.564,98.85,4.997,1,1-7-4
1168,T_12 T_14 T_00 T_19,0.595,67.48,0.512,3,1-7-2
1169,T_13 T_38 T_02 T_03 T_01,0.853,75.34,0.256,4,1-8-3
1170,T_03 T_01 T_38 T_15,0.759,24.58,0.453,5,1-8-4
1171,T_38 T_30 T_03 T_17,0.281,67.39,0.372,4,0-8-4
1172,T_03 T_28 T_38 T_37,0.104,4.32,0.19,1,0-8-0
1173,T_17 T_03 T_16 T_38,-0.063,83.78,3.197,5,0-8-4
1174,T_03 T_01 T_38 T_06,-0.754,16.96,1.369,2,1-8-0
1175,T_38 T_25 T_03 T_17 T_14,-0.281,69.74,0.984,3,0-8-2
1176,T_37 T_20 T_38 T_03,-1.693,22.45,6.017,4,1-9-4
1177,T_03 T_13 T_38 T_09,-0.098,6.85,0.927,5,0-8-2
1178,T_23 T_17 T_03 T_21 T_38,-0.989,48.15,0.365,3,0-8-0
1179,T_21 T_03 T_38 T_31,-1.104,16.93,0.641,4,0-8-4
1180,T_03 T_26 T_17 T_14 T_38,0.18,72.94,0.546,1,0-8-2
1181,T_38 T_03 T_37 T_18,1.392,23.76,1.381,1,0-8-3
1182,T_33 T_03 T_11 T_38,0.918,34.25,0.689,1,0-8-0
1183,T_29 T_13 T_03 T_14 T_38,-1.571,56.74,1.452,2,1-8-3
1184,T_03 T_01 T_35 T_38,-0.99,28.5,2.213,1,1-8-3
1185,T_33 T_03 T_13 T_27 T_38,0.941,37.8,3.004,1,0-8-0
1186,T_22 T_38 T_03 T_34 T_37,-0.982,81.56,2.477,1,1-8-3
1187,T_38 T_03 T_32 T_17,-0.225,17.92,0.46,5,1-8-0
1188,T_14 T_12 T_38 T_37 T_03,0.55,8.22,0.246,3,1-8-3
1189,T_14 T_10 T_03 T_02,-0.968,32.84,1.564,2,0-3-0
1190,T_21 T_08 T_10 T_03 T_15,0.105,42.44,0.444,4,0-5-1
1191,T_10 T_03 T_22 T_30,-1.334,54.27,0.178,2,1-3-1
1192,T_28 T_03 T_10 T_13,-0.601,37.24,1.498,3,1-3-2
1193,T_03 T_06 T_10 T_33,0.32,78.99,0.791,1,0-3-2
1194,T_09 T_08 T_03 T_10,-1.593,3.93,2.822,1,1-4-4
1195,T_24 T_03 T_05 T_10,0.44,43.18,0.754,4,0-7-1
1196,T_10 T_31 T_03 T_21,-0.02,38.23,7.7,2,1-5-1
1197,T_03 T_01 T_26 T_17 T_10,0.552,64.76,2.842,2,1-4-4
1198,T_03 T_21 T_10 T_33 T_29,0.224,96.63,0.119,4,0-8-0
1199,T_03 T_22 T_27 T_10 T_14,1.364,51.04,1.422,2,1-5-2
1200,T_32 T_01 T_03 T_10,0.125,98.69,1.654,2,0-3-2
1201,T_13 T_03 T_12 T_10,-0.429,30.22,2.377,2,0-7-0
1202,T_15 T_02 T_37 T_03,0.122,3.09,1.378,4,0-5-4
1203,T_17 T_03 T_02 T_30,0.543,16.57,1.321,4,1-3-4
1204,T_33 T_03 T_02 T_22 T_28,0.049,39.51,0.918,3,1-3-0
1205,T_02 T_06 T_01 T_03 T_14,0.041,31.63,0.633,2,0-3-0
1206,T_03 T_22 T_25 T_02 T_33,-0.702,9.71,5.845,3,1-6-2
1207,T_07 T_03 T_13 T_02 T_01,-0.663,43.27,0.764,5,1-3-2
1208,T_02 T_09 T_17 T_37 T_03,-1.403,33.81,0.131,5,1-4-2
1209,T_13 T_03 T_23 T_08 T_02,1.75,12.26,0.366,2,1-3-0
1210,T_02 T_03 T_21 T_31,-1.244,29.61,3.894,1,1-5-4
1211,T_26 T_03 T_22 T_02 T_17,-0.693,88.64,1.767,5,1-4-2
1212,T_01 T_02 T_18 T_37 T_03,-0.718,30.2,3.017,1,1-8-3
1213,T_02 T_03 T_21 T_29 T_17,0.895,71.4,3.309,3,0-8-3
1214,T_01 T_03 T_37 T_35 T_02,-0.295,61.2,3.466,2,0-3-3
1215,T_03 T_02 T_21 T_27,1.248,42.72,1.6,3,1-5-0
1216,T_34 T_02 T_05 T_37 T_03,-0.673,23.9,0.39,3,0-3-3
1217,T_03 T_02 T_37 T_32,0.279,36.9,0.321,4,0-3-0
1218,T_17 T_01 T_02 T_03 T_12,-0.835,59.21,1.707,2,0-7-3
1219,T_03 T_21 T_00 T_02 T_17,2.145,35.08,0.913,4,0-3-3
1220,T_30 T_03 T_15 T_37,-1.188,21.49,1.633,3,1-5-0
1221,T_15 T_28 T_14 T_03,0.31,11.65,1.38,1,1-5-1
1222,T_16 T_03 T_01 T_15,0.634,87.98,1.844,2,1-5-0
1223,T_01 T_33 T_03 T_15 T_06,0.414,44.03,0.065,2,0-5-1
1224,T_25 T_01 T_15 T_03 T_14,-0.185,62.52,0.067,5,1-6-3
1225,T_07 T_15 T_03 T_33 T_14,-0.13,49.04,2.557,1,1-5-3
1226,T_03 T_15 T_37 T_09 T_05,0.044,87.26,0.429,1,1-5-3
1227,T_33 T_03 T_23 T_15 T_05,-0.147,54.69,2.112,3,1-5-1
1228,T_14 T_15 T_03 T_24 T_13,0.964,48.08,1.582,3,0-7-0
1229,T_26 T_15 T_37 T_03,2.211,92.46,8.012,3,1-5-3
1230,T_33 T_22 T_15 T_03 T_18,-0.557,71.97,3.609,5,1-8-4
1231,T_11 T_15 T_05 T_03,-1.37,11.15,1.066,1,1-7-1
1232,T_13 T_29 T_03 T_15 T_37,-0.088,17.77,1.916,4,0-8-4
1233,T_08 T_35 T_21 T_15 T_03,2.58,78.71,0.25,1,0-5-4
1234,T_15 T_37 T_32 T_03,-0.804,83.59,0.977,4,0-5-1
1235,T_03 T_15 T_12 T_14,1.639,54.52,2.648,2,0-7-4
1236,T_15 T_03 T_00 T_01 T_08,1.678,55.45,1.949,4,0-5-4
1237,T_03 T_21 T_30 T_05 T_28,-0.554,63.19,1.325,2,0-3-1
1238,T_03 T_16 T_05 T_30,0.569,43.91,0.388,3,0-5-0
1239,T_30 T_22 T_03 T_06,1.628,68.02,3.251,1,1-3-1
1240,T_25 T_30 T_03 T_21 T_13,-0.379,10.85,0.638,3,0-6-3
1241,T_20 T_17 T_03 T_05 T_30,-0.204,96.13,3.435,1,1-9-0
1242,T_07 T_03 T_30 T_17 T_08,-0.582,75.02,1.891,4,0-3-3
1243,T_22 T_33 T_09 T_03 T_30,-1.015,63.12,0.933,1,0-4-3
1244,T_03 T_30 T_23 T_22 T_05,-0.649,31.63,0.083,4,0-3-1
1245,T_37 T_01 T_03 T_30 T_24,-1.224,16.1,0.529,1,1-7-0
1246,T_18 T_17 T_30 T_03,0.034,40.93,4.398,2,0-8-4
1247,T_29 T_37 T_30 T_03,-0.77,66.16,3.407,4,1-8-4
1248,T_30 T_22 T_03 T_35,0.234,63.37,1.711,3,1-3-4
1249,T_30 T_27 T_03 T_33 T_08,-1.556,38.26,1.256,3,0-5-1
1250,T_30 T_34 T_03 T_08,0.331,61.33,2.083,3,1-3-4
1251,T_03 T_17 T_30 T_32,0.834,81.37,1.256,3,1-3-1
1252,T_16 T_28 T_03 T_33,-1.994,2.63,2.067,2,0-5-1
1253,T_03 T_25 T_28 T_17,0.374,45.06,0.735,2,0-6-4
1254,T_20 T_22 T_13 T_28 T_03,1.228,75.86,3.646,5,1-9-1
1255,T_08 T_17 T_03 T_28 T_09,-1.21,54.61,2.421,5,0-4-4
1256,T_28 T_03 T_23 T_01 T_33,1.673,65.15,0.801,5,0-3-2
1257,T_17 T_31 T_28 T_03,0.419,51.67,3.552,5,0-5-1
1258,T_03 T_26 T_17 T_28 T_22,-0.705,99.19,1.336,1,0-4-4
1259,T_28 T_11 T_01 T_05 T_03,-0.056,5.46,0.384,4,0-7-2
1260,T_29 T_03 T_28 T_17 T_05,0.558,49.1,0.162,3,1-8-0
1261,T_35 T_13 T_08 T_28 T_03,0.076,9.14,2.405,1,1-3-0
1262,T_28 T_27 T_05 T_13 T_03,0.539,15.98,4.007,2,0-5-2
1263,T_34 T_22 T_03 T_28 T_01,-0.921,38.3,3.295,3,1-3-0
1264,T_28 T_14 T_21 T_03 T_32,0.169,15.55,2.132,4,1-3-2
1265,T_05 T_08 T_12 T_03 T_28,-1.414,96.37,0.305,4,1-7-0
1266,T_00 T_03 T_28 T_37,-0.111,94.68,0.198,2,1-3-0
1267,T_22 T_03 T_06 T_14 T_16,-0.904,33.61,0.846,3,1-5-1
1268,T_05 T_03 T_16 T_25,-0.736,63.97,3.861,5,0-6-3
1269,T_03 T_14 T_20 T_16,1.236,53.38,6.527,3,1-9-0
1270,T_33 T_07 T_16 T_03 T_37,1.091,81.56,0.552,3,0-5-3
1271,T_03 T_09 T_16 T_22,0.609,62.74,2.872,4,0-5-3
1272,T_21 T_03 T_23 T_16,-1.092,0.03,1.706,2,0-5-1
1273,T_03 T_24 T_16 T_22,-0.316,76.32,0.065,3,1-7-0
1274,T_03 T_17 T_16 T_31 T_22,1.213,74.68,1.566,1,0-5-0
1275,T_03 T_16 T_18 T_33 T_37,0.142,50.97,3.279,1,0-8-4
1276,T_03 T_21 T_29 T_16 T_22,2.319,90.29,0.646,2,1-8-4
1277,T_35 T_37 T_03 T_16 T_21,0.393,90.84,4.553,5,1-5-4
1278,T_27 T_03 T_16 T_01,0.192,52.39,0.539,3,0-5-1
1279,T_33 T_03 T_16 T_34,-0.309,60.8,0.159,3,1-5-4
1280,T_03 T_12 T_13 T_16,0.134,99.65,0.349,4,1-7-4
1281,T_00 T_03 T_01 T_16,-0.152,29.88,3.628,3,1-5-4
1282,T_25 T_05 T_06 T_03 T_33,0.708,32.46,1.08,5,1-6-4
1283,T_33 T_06 T_03 T_07,0.957,18.28,3.189,3,1-3-4
1284,T_05 T_03 T_06 T_09,-0.786,89.59,1.515,3,1-4-4
1285,T_23 T_03 T_14 T_06,-1.331,74.45,1.31,4,1-3-2
1286,T_01 T_24 T_06 T_03,-1.836,10.56,3.289,1,0-7-1
1287,T_01 T_31 T_03 T_06,0.508,98.18,1.102,1,1-5-1
1288,T_17 T_03 T_26 T_05 T_06,-1.103,73.1,3.239,5,1-4-4
1289,T_06 T_18 T_14 T_03 T_08,-2.153,85.05,0.212,2,1-8-0
1290,T_06 T_03 T_11 T_08 T_14,0.389,4.82,2.023,2,1-7-2
1291,T_06 T_29 T_03 T_08 T_37,2.493,50.5,2.425,4,0-8-0
1292,T_35 T_22 T_03 T_06,-0.006,69.86,4.587,3,0-3-0
1293,T_01 T_22 T_27 T_03 T_06,0.838,54.29,0.508,4,1-5-2
1294,T_34 T_06 T_17 T_03,0.082,66.66,1.854,1,0-3-0
1295,T_03 T_32 T_06 T_22,-0.099,81.79,1.136,5,0-3-2
1296,T_06 T_03 T_12 T_22 T_37,0.919,37.43,0.965,2,0-7-0
1297,T_06 T_01 T_03 T_00,-0.29,84.87,0.226,3,0-3-0
1298,T_03 T_08 T_25 T_20,0.267,16.29,0.288,2,1-9-3
1299,T_25 T_13 T_03 T_07 T_14,0.322,27.09,3.628,1,0-6-1
1300,T_03 T_09 T_25 T_05,-0.668,4.33,2.771,3,0-6-1
1301,T_23 T_17 T_03 T_25,0.992,36.44,0.964,1,0-6-4
1302,T_25 T_31 T_03 T_14 T_08,-0.175,37.99,3.526,2,0-6-3
1303,T_05 T_25 T_26 T_03,-0.756,80.53,0.168,2,0-6-1
1304,T_18 T_03 T_14 T_25,0.537,65.31,1.96,1,0-8-2
1305,T_03 T_25 T_01 T_11,-0.898,43.67,4.053,3,0-7-4
1306,T_03 T_29 T_25 T_05 T_08,0.028,65.21,3.651,1,1-8-2
1307,T_17 T_35 T_22 T_03 T_25,-0.009,5.28,0.933,3,1-6-2
1308,T_27 T_03 T_22 T_25,1.086,18.03,2.735,4,0-6-4
1309,T_14 T_25 T_32 T_03,0.475,62.69,1.115,4,1-6-4
1310,T_37 T_08 T_03 T_25 T_12,-0.025,64.14,3.667,3,1-7-2
1311,T_33 T_00 T_37 T_03 T_25,0.818,77.41,1.513,1,1-6-2
1312,T_03 T_37 T_24 T_20 T_21,1.39,40.3,2.895,3,0-9-0
1313,T_08 T_03 T_31 T_20,0.558,72.26,0.164,2,1-9-0
1314,T_26 T_13 T_20 T_03 T_14,0.01,68.4,1.783,1,1-9-3
1315,T_13 T_01 T_18 T_03 T_20,-1.312,96.34,1.598,3,1-9-4
1316,T_20 T_33 T_03 T_11 T_37,-1.065,21.51,1.883,2,1-9-1
1317,T_29 T_20 T_03 T_05 T_01,-0.305,55.17,2.379,5,0-9-4
1318,T_03 T_37 T_20 T_35 T_13,-0.61,60.18,5.005,2,0-9-4
1319,T_21 T_20 T_27 T_03,-0.187,99.86,3.081,3,1-9-1
1320,T_34 T_05 T_03 T_20,0.057,20.12,0.496,1,0-9-4
1321,T_17 T_20 T_03 T_12,0.53,52.32,3.496,1,0-9-4
1322,T_03 T_07 T_33 T_09 T_05,-0.07,34.62,0.26,4,0-4-1
1323,T_03 T_07 T_13 T_23 T_08,0.487,52.59,1.947,3,0-3-4
1324,T_07 T_03 T_24 T_21,0.064,23.21,4.287,2,1-7-3
1325,T_08 T_33 T_07 T_26 T_03,-1.975,4.76,0.213,2,0-4-1
1326,T_07 T_13 T_18 T_03,-0.939,57.26,3.79,3,0-8-2
1327,T_07 T_37 T_03 T_29,-0.144,33.59,3.205,2,1-8-2
1328,T_35 T_22 T_03 T_07,-1.21,18.19,1.401,5,1-3-2
1329,T_07 T_03 T_01 T_27,0.6,32.39,0.739,4,0-5-4
1330,T_34 T_07 T_17 T_03,1.531,4.93,1.04,1,1-3-2
1331,T_07 T_32 T_21 T_03,1.219,95.04,6.926,2,1-3-4
1332,T_07 T_13 T_03 T_14 T_12,-0.213,58.11,0.451,5,1-7-2
1333,T_03 T_00 T_33 T_07,1.491,81.48,1.733,3,1-3-2
1334,T_23 T_17 T_03 T_09,0.149,42.31,0.174,2,0-4-4
1335,T_08 T_09 T_03 T_24,-0.337,90.33,0.492,3,1-7-3
1336,T_31 T_13 T_03 T_09,-0.613,48.33,2.882,5,0-5-3
1337,T_21 T_01 T_09 T_18 T_03,-0.302,57.39,0.721,5,0-8-2
1338,T_09 T_03 T_08 T_11 T_22,-0.388,49.18,8.504,1,0-7-4
1339,T_01 T_29 T_09 T_03,0.17,73.33,1.39,3,1-8-2
1340,T_37 T_09 T_03 T_14 T_27,0.161,56.67,1.454,4,0-5-4
1341,T_33 T_08 T_03 T_34 T_09,0.003,27.16,0.074,1,1-4-2
1342,T_09 T_03 T_13 T_32,0.437,14.55,6.271,3,1-4-4
1343,T_03 T_08 T_12 T_22 T_09,1.191,60.61,0.383,3,1-7-2
1344,T_00 T_05 T_03 T_13 T_09,0.95,48.92,1.546,5,1-4-2
1345,T_03 T_24 T_23 T_01,-1.485,9.6,1.007,5,1-7-1
1346,T_03 T_31 T_21 T_23,-2.554,39.56,1.074,3,0-5-1
1347,T_33 T_26 T_23 T_03,0.934,51.48,2.062,5,0-4-4
1348,T_18 T_21 T_03 T_23,-1.367,82.69,2.17,3,0-8-0
1349,T_23 T_03 T_37 T_11,-0.225,7.61,0.335,3,0-7-2
1350,T_08 T_23 T_29 T_03,-1.17,34.85,1.385,1,1-8-0
1351,T_08 T_03 T_35 T_23,-1.802,82.27,3.126,1,1-3-0
1352,T_27 T_14 T_23 T_03,0.541,64.84,1.171,4,0-5-2
1353,T_23 T_22 T_13 T_03 T_34,0.759,29.0,0.363,1,1-3-0
1354,T_32 T_13 T_03 T_23,-0.577,84.53,0.751,2,1-3-2
1355,T_03 T_05 T_23 T_12,-2.591,49.33,0.477,2,1-7-0
1356,T_03 T_21 T_23 T_22 T_00,-0.546,49.84,0.269,5,1-3-0
1357,T_24 T_31 T_03 T_01 T_14,0.392,97.66,0.948,2,1-7-0
1358,T_24 T_08 T_26 T_03 T_17,-1.479,94.71,1.557,1,1-7-3
