question_id,situation,question,output
2291,"A Striker of level 6 is on Ruins, carrying 49 mana with 5 HP left and combat stats of 15 strength and 4 defense. The target is a level 9 Guardian on Mountain (11 HP, 16 strength, 7 defense), distant from the attacker. The attempt: attack the Guardian.",Can the Striker attack the Guardian?,"<analysis>With HP below 15, the unit's attack effectiveness is significantly reduced. On top of that, without adjacency, a melee attack has no chance of connecting. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
5026,"On Ruins terrain, a Rogue at level 4 (27 mana, 78 HP, 10 strength, 19 defense) move to Plains.  The Rogue has Invisible status.",Can the Rogue move to Plains?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. Beyond that, the Plains environment is favorable for Rogues, granting enhanced movement. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
3076,"A Rogue of level 7 is on Plains, carrying 7 mana with 84 HP left and combat stats of 3 strength and 17 defense. The target is a level 2 Rogue on Ruins (32 HP, 16 strength, 16 defense), adjacent to the attacker. The attempt: attack the Rogue. The Rogue has Poisoned status.",Can the Rogue attack the Rogue?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. However, against a target with 15+ defense, even powerful attacks are partially deflected. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
2228,"The Ranger is level 9, positioned on Plains with 69 HP and 21 mana remaining (10 strength, 11 defense). The target is a level 7 Summoner on Ruins (98 HP, 13 defense), adjacent to the caster. The unit tries to cast Drain on the Summoner. The Ranger has Frozen and Poisoned status.",Can the Ranger cast Drain on the Summoner?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 9). Beyond that, the Frozen effect immobilizes the unit, blocking any attempt to cast spells. Meanwhile, a Ranger has no capacity for magic and cannot cast any spell. Additionally, casting Drain in Plains fails because open terrain dissipates the focused energy. At the same time, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
1612,"On Mountain terrain, a Rogue at level 8 (42 mana, 6 HP, 8 strength, 16 defense) attack the Guardian. The target is a level 8 Guardian on Mountain (69 HP, 14 strength, 5 defense), distant from the attacker. ",Can the Rogue attack the Guardian?,"<analysis>A veteran unit (level 7+) fights through injuries that would cripple less experienced fighters (unit is level 8). On top of that, elevation advantage on Mountain terrain turns all attacks into ranged attacks. Additionally, wounded units (below 15 HP) take a performance hit on attack actions. Furthermore, without adjacency, a melee attack has no chance of connecting. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
3062,"A level 10 Ranger stands on Ruins terrain with 13 mana and 34 HP (strength 19, defense 3). The target is a level 2 Summoner on Desert (90 HP, 12 defense), adjacent to the caster. Ranger attempts to cast Rally on the Summoner.",Can the Ranger cast Rally on the Summoner?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). On top of that, adjacent allies receive a more potent Rally buff due to the caster's direct presence. However, rangers lack arcane training and cannot cast spells. Compounding this, the Rally spell demands 35 mana — anything less and the cast fails (current mana: 13). While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
425,"A Paladin of level 6 is on Plains, carrying 36 mana with 44 HP left and combat stats of 14 strength and 4 defense. The attempt: move to Swamp. The Paladin has Invisible status.",Can the Paladin move to Swamp?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. However, the Swamp environment is impassable for Paladin units. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
705,"The Ranger is level 6, positioned on Desert with 84 HP and 7 mana remaining (12 strength, 9 defense). The unit tries to move to Desert. The Ranger has Frozen and Poisoned status.",Can the Ranger move to Desert?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to move. Furthermore, a Ranger entering Desert moves with extra efficiency. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
5135,"On Forest terrain, a Paladin at level 2 (16 mana, 12 HP, 5 strength, 4 defense) cast Fireball on the Healer. The target is a level 5 Healer with Invisible and Poisoned status on Plains (28 HP, 13 defense), adjacent to the caster.  The Paladin has Burning and Poisoned status.",Can the Paladin cast Fireball on the Healer?,"<analysis>A Burning caster channels their own flames into Fireball, bypassing Forest's suppression. Beyond that, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 16). Compounding this, fireball cannot be cast on Forest terrain — ambient moisture dampens the magic. Furthermore, casting Fireball requires the caster to be at least level 6 (unit is level 2). However, wounded units (below 15 HP) take a performance hit on cast actions. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1879,"Paladin (level 4) occupies Forest terrain. Current stats: 50 mana, 59 HP, 11 strength, 9 defense. The target is a level 6 Guardian on Desert (72 HP, 14 strength, 12 defense), distant from the attacker. The Paladin wants to attack the Guardian.",Can the Paladin attack the Guardian?,"<analysis>When the target's defense exceeds the attacker's strength, damage output drops significantly. At the same time, without adjacency, a melee attack has no chance of connecting. Meanwhile, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
3403,"Guardian (level 1) occupies Mountain terrain. Current stats: 29 mana, 98 HP, 9 strength, 15 defense. The target is a level 4 Paladin on Mountain (98 HP, 7 defense), adjacent to the caster. The Guardian wants to cast Drain on the Paladin.",Can the Guardian cast Drain on the Paladin?,"<analysis>Spellcasting is not available to Guardian units — they have no magical ability. Furthermore, the Mountain environment prevents Drain from forming: the thin air disrupts concentration. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
4608,"A Striker of level 6 is on Mountain, carrying 49 mana with 46 HP left and combat stats of 14 strength and 4 defense. The target is a level 2 Summoner on Swamp (79 HP, 3 strength, 18 defense), distant from the attacker. The attempt: attack the Summoner.",Can the Striker attack the Summoner?,"<analysis>The Mountain's elevation grants ranged attack capability to all units. At the same time, when the target's defense exceeds the attacker's strength, damage output drops significantly. Compounding this, without adjacency, a melee attack has no chance of connecting. Beyond that, against a target with 15+ defense, even powerful attacks are partially deflected. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
1617,"A Paladin of level 10 is on Desert, carrying 23 mana with 77 HP left and combat stats of 14 strength and 13 defense. The target is a level 4 Summoner with Stunned status on Plains (56 HP, 9 defense), adjacent to the caster. The attempt: cast Fireball on the Summoner.",Can the Paladin cast Fireball on the Summoner?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). Compounding this, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 23). While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
1877,"A Guardian of level 4 is on Swamp, carrying 24 mana with 13 HP left and combat stats of 8 strength and 7 defense. The target is a level 4 Guardian with Shielded status on Desert (40 HP, 8 defense), adjacent to the caster. The attempt: cast Rally on the Guardian. The Guardian has Poisoned status.",Can the Guardian cast Rally on the Guardian?,"<analysis>Adjacent allies receive a more potent Rally buff due to the caster's direct presence. Beyond that, guardians lack arcane training and cannot cast spells. Meanwhile, casting Rally requires at least 35 mana. Insufficient mana blocks the spell (current mana: 24). Additionally, wounded units (below 15 HP) take a performance hit on cast actions. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
4011,"A Mage of level 10 is on Mountain, carrying 28 mana with 71 HP left and combat stats of 19 strength and 15 defense. The target is a level 10 Summoner on Ruins (76 HP, 9 defense), distant from the caster. The attempt: cast Drain on the Summoner.",Can the Mage cast Drain on the Summoner?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). On top of that, casting Drain in Mountain fails because the thin air disrupts concentration. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
4093,"A level 4 Striker stands on Plains terrain with 9 mana and 80 HP (strength 9, defense 6). The target is a level 9 Healer with Invisible status on Plains (60 HP, 13 defense), adjacent to the caster. Striker attempts to cast Rally on the Healer.",Can the Striker cast Rally on the Healer?,"<analysis>Rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. On top of that, strikers lack arcane training and cannot cast spells. Furthermore, the Rally spell demands 35 mana — anything less and the cast fails (current mana: 9). The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
2943,"A Rogue of level 10 is on Ruins, carrying 28 mana with 70 HP left and combat stats of 6 strength and 4 defense. The target is a level 6 Rogue with Invisible and Shielded status on Desert (62 HP, 3 strength, 12 defense), adjacent to the attacker. The attempt: attack the Rogue.",Can the Rogue attack the Rogue?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. Additionally, the magical barrier around the target deflects half the attack's force. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
3578,"A Guardian of level 6 is on Plains, carrying 13 mana with 86 HP left and combat stats of 10 strength and 10 defense. The target is a level 9 Paladin on Plains (13 HP, 6 defense), adjacent to the caster. The attempt: cast Fireball on the Paladin.",Can the Guardian cast Fireball on the Paladin?,"<analysis>A Guardian has no capacity for magic and cannot cast any spell. Meanwhile, the Fireball spell demands 28 mana — anything less and the cast fails (current mana: 13). Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
1822,"A level 10 Summoner stands on Desert terrain with 13 mana and 8 HP (strength 9, defense 15). Summoner attempts to move to Ruins. The Summoner has Invisible status.",Can the Summoner move to Ruins?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. Beyond that, at fewer than 10 HP, movement is agonizingly slow — half the normal speed. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
2571,"A Guardian of level 1 is on Swamp, carrying 32 mana with 98 HP left and combat stats of 6 strength and 5 defense. The target is a level 7 Healer with Shielded and Stunned status on Mountain (70 HP, 12 strength, 13 defense), adjacent to the attacker. The attempt: attack the Healer. The Guardian has Poisoned status.",Can the Guardian attack the Healer?,"<analysis>When the target's defense exceeds the attacker's strength, damage output drops significantly. Meanwhile, the target's Shield absorbs a portion of the incoming damage, reducing it by half. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
279,"A Healer of level 9 is on Ruins, carrying 14 mana with 40 HP left and combat stats of 16 strength and 6 defense. The target is a level 1 Rogue with Burning and Stunned status on Forest (25 HP, 18 strength, 17 defense), adjacent to the attacker. The attempt: attack the Rogue. The Healer has Stunned status.",Can the Healer attack the Rogue?,"<analysis>While Stunned, performing any attack action is impossible. Beyond that, insufficient strength against the target's defenses means the attack deals partial damage. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
15,"A level 1 Rogue stands on Forest terrain with 18 mana and 94 HP (strength 15, defense 11). The target is a level 6 Guardian on Plains (60 HP, 13 strength, 18 defense), distant from the attacker. Rogue attempts to attack the Guardian.",Can the Rogue attack the Guardian?,"<analysis>A Rogue below level 4 deals reduced attack damage due to inexperience (unit is level 1). Meanwhile, insufficient strength against the target's defenses means the attack deals partial damage. Beyond that, without adjacency, a melee attack has no chance of connecting. Compounding this, combat effectiveness drops when fighting on Forest terrain. Additionally, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
2210,"Rogue (level 6) occupies Ruins terrain. Current stats: 16 mana, 44 HP, 16 strength, 9 defense. The target is a level 1 Summoner with Shielded status on Mountain (78 HP, 9 strength, 8 defense), distant from the attacker. The Rogue wants to attack the Summoner.",Can the Rogue attack the Summoner?,"<analysis>The target is out of melee range — physical attacks cannot reach. Meanwhile, shielded targets take only 50% damage from physical attacks. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
1869,"On Ruins terrain, a Ranger at level 1 (47 mana, 94 HP, 4 strength, 16 defense) cast Shadowstep on the Summoner. The target is a level 2 Summoner with Poisoned and Shielded status on Plains (51 HP, 4 defense), adjacent to the caster. ",Can the Ranger cast Shadowstep on the Summoner?,"<analysis>Excess mana (45+) supercharges Shadowstep, amplifying its potency significantly (current mana: 47). Additionally, spellcasting is not available to Ranger units — they have no magical ability. Meanwhile, shadowstep is locked until level 7 — lower-level casters cannot use it (unit is level 1). The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
2487,"Paladin (level 1) occupies Ruins terrain. Current stats: 47 mana, 32 HP, 10 strength, 10 defense. The target is a level 5 Summoner on Swamp (73 HP, 11 strength, 19 defense), adjacent to the attacker. The Paladin wants to attack the Summoner. The Paladin has Shielded status.",Can the Paladin attack the Summoner?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. Additionally, against a target with 15+ defense, even powerful attacks are partially deflected. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
4760,"On Plains terrain, a Ranger at level 4 (49 mana, 57 HP, 11 strength, 7 defense) move to Ruins.  The Ranger has Frozen and Invisible status.",Can the Ranger move to Ruins?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. At the same time, the Frozen effect immobilizes the unit, blocking any attempt to move. Compounding this, rangers cannot traverse Ruins terrain due to their physical limitations. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
764,"A Ranger of level 5 is on Plains, carrying 8 mana with 81 HP left and combat stats of 20 strength and 14 defense. The target is a level 5 Guardian with Burning and Frozen status on Forest (31 HP, 13 defense), adjacent to the caster. The attempt: cast Fireball on the Guardian. The Ranger has Burning and Frozen status.",Can the Ranger cast Fireball on the Guardian?,"<analysis>Frozen units cannot cast spells. The condition prevents all voluntary actions. Meanwhile, rangers lack arcane training and cannot cast spells. Compounding this, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell. On top of that, only units of level 6 or higher can cast Fireball (unit is level 5). However, fireball against a Frozen target neutralizes the status instead of dealing normal damage. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
2586,"On Ruins terrain, a Striker at level 7 (48 mana, 94 HP, 10 strength, 17 defense) attack the Rogue. The target is a level 5 Rogue with Frozen and Poisoned status on Swamp (70 HP, 9 strength, 17 defense), adjacent to the attacker. ",Can the Striker attack the Rogue?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
1643,"A level 9 Healer stands on Ruins terrain with 17 mana and 75 HP (strength 5, defense 17). The target is a level 1 Ranger with Invisible status on Mountain (57 HP, 13 strength, 6 defense), distant from the attacker. Healer attempts to attack the Ranger. The Healer has Poisoned status.",Can the Healer attack the Ranger?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. Furthermore, melee attacks require the attacker to be adjacent to the target. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
3838,"The Healer is level 1, positioned on Ruins with 15 HP and 46 mana remaining (19 strength, 18 defense). The target is a level 6 Healer on Ruins (78 HP, 10 defense), distant from the caster. The unit tries to cast Shadowstep on the Healer. The Healer has Invisible status.",Can the Healer cast Shadowstep on the Healer?,"<analysis>With mana above 45, Shadowstep is overcharged — dealing enhanced damage or stronger effects (current mana: 46). At the same time, only units of level 7 or higher can cast Shadowstep (unit is level 1). While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
4562,"On Swamp terrain, a Ranger at level 7 (26 mana, 39 HP, 16 strength, 6 defense) attack the Summoner. The target is a level 7 Summoner with Poisoned status on Plains (15 HP, 4 strength, 7 defense), distant from the attacker. ",Can the Ranger attack the Summoner?,"<analysis>The Ranger's ranged weapons reach non-adjacent targets without penalty. However, without adjacency, a melee attack has no chance of connecting. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
2464,"On Ruins terrain, a Guardian at level 1 (28 mana, 24 HP, 10 strength, 19 defense) attack the Guardian. The target is a level 6 Guardian on Plains (8 HP, 5 strength, 20 defense), distant from the attacker.  The Guardian has Poisoned status.",Can the Guardian attack the Guardian?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. On top of that, without adjacency, a melee attack has no chance of connecting. Compounding this, against a target with 15+ defense, even powerful attacks are partially deflected. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
696,"The Ranger is level 8, positioned on Forest with 16 HP and 6 mana remaining (17 strength, 12 defense). The target is a level 6 Rogue on Desert (91 HP, 4 strength, 16 defense), distant from the attacker. The unit tries to attack the Rogue.",Can the Ranger attack the Rogue?,"<analysis>Veterans of level 7+ have learned to fight effectively even while wounded (unit is level 8). At the same time, the Ranger's ranged weapons reach non-adjacent targets without penalty. Meanwhile, the target is out of melee range — physical attacks cannot reach. Compounding this, combat effectiveness drops when fighting on Forest terrain. Furthermore, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
1665,"On Mountain terrain, a Rogue at level 3 (39 mana, 81 HP, 19 strength, 5 defense) attack the Healer. The target is a level 6 Healer with Invisible status on Desert (43 HP, 3 strength, 10 defense), distant from the attacker.  The Rogue has Poisoned and Shielded status.",Can the Rogue attack the Healer?,"<analysis>From the Mountain's height, even melee units can strike distant targets below. However, a Rogue below level 4 deals reduced attack damage due to inexperience (unit is level 3). Additionally, the target is out of melee range — physical attacks cannot reach. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
1244,"On Mountain terrain, a Healer at level 8 (32 mana, 59 HP, 6 strength, 14 defense) cast Rally on the Summoner. The target is a level 1 Summoner with Burning and Invisible status on Swamp (79 HP, 11 defense), adjacent to the caster.  The Healer has Shielded status.",Can the Healer cast Rally on the Summoner?,"<analysis>Rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. Furthermore, the Rally spell demands 35 mana — anything less and the cast fails (current mana: 32). At the same time, the Mountain environment prevents Rally from forming: the thin air disrupts concentration. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>BLOCKED</outcome>"
84,"A level 4 Ranger stands on Forest terrain with 5 mana and 87 HP (strength 12, defense 17). The target is a level 5 Rogue on Mountain (26 HP, 4 defense), adjacent to the caster. Ranger attempts to cast Heal on the Rogue.",Can the Ranger cast Heal on the Rogue?,"<analysis>Rangers lack arcane training and cannot cast spells. On top of that, casting Heal requires at least 18 mana. Insufficient mana blocks the spell (current mana: 5). The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
4681,"The Ranger is level 6, positioned on Desert with 19 HP and 39 mana remaining (20 strength, 8 defense). The target is a level 5 Striker with Poisoned status on Forest (38 HP, 19 strength, 13 defense), distant from the attacker. The unit tries to attack the Striker. The Ranger has Poisoned status.",Can the Ranger attack the Striker?,"<analysis>As a ranged unit, the Ranger strikes from a distance. On top of that, melee attacks require the attacker to be adjacent to the target. Additionally, combat effectiveness drops when fighting on Desert terrain. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
1215,"Guardian (level 4) occupies Plains terrain. Current stats: 14 mana, 28 HP, 14 strength, 14 defense. The target is a level 2 Paladin with Burning status on Plains (52 HP, 9 strength, 16 defense), distant from the attacker. The Guardian wants to attack the Paladin.",Can the Guardian attack the Paladin?,"<analysis>When the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, the target is out of melee range — physical attacks cannot reach. Furthermore, the target's defense exceeding 15 represents thick armor that blunts most attacks. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
1209,"Summoner (level 9) occupies Plains terrain. Current stats: 44 mana, 73 HP, 9 strength, 12 defense. The target is a level 3 Rogue on Swamp (8 HP, 8 strength, 7 defense), distant from the attacker. The Summoner wants to attack the Rogue. The Summoner has Invisible and Stunned status.",Can the Summoner attack the Rogue?,"<analysis>The Stunned effect immobilizes the unit, blocking any attempt to attack. Meanwhile, a sneak attack from Invisible status doubles the damage output, but reveals the attacker. Furthermore, the target is out of melee range — physical attacks cannot reach. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
925,"A Summoner of level 3 is on Swamp, carrying 34 mana with 62 HP left and combat stats of 8 strength and 17 defense. The target is a level 9 Guardian on Ruins (41 HP, 16 defense), adjacent to the caster. The attempt: cast Fireball on the Guardian. The Summoner has Stunned status.",Can the Summoner cast Fireball on the Guardian?,"<analysis>Stunned units cannot cast spells. The condition prevents all voluntary actions. Beyond that, the Swamp environment prevents Fireball from forming: the waterlogged ground absorbs magical energy. Additionally, only units of level 6 or higher can cast Fireball (unit is level 3). The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
324,"Striker (level 10) occupies Forest terrain. Current stats: 21 mana, 82 HP, 4 strength, 18 defense. The target is a level 6 Rogue with Burning status on Plains (27 HP, 9 strength, 18 defense), distant from the attacker. The Striker wants to attack the Rogue. The Striker has Stunned status.",Can the Striker attack the Rogue?,"<analysis>While Stunned, performing any attack action is impossible. On top of that, insufficient strength against the target's defenses means the attack deals partial damage. Beyond that, without adjacency, a melee attack has no chance of connecting. However, the Forest environment makes it harder to land attacks — accuracy suffers. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
3024,"A Guardian of level 7 is on Forest, carrying 20 mana with 41 HP left and combat stats of 20 strength and 9 defense. The target is a level 1 Guardian with Stunned status on Desert (92 HP, 15 defense), adjacent to the caster. The attempt: cast Fireball on the Guardian. The Guardian has Invisible and Shielded status.",Can the Guardian cast Fireball on the Guardian?,"<analysis>A Guardian has no capacity for magic and cannot cast any spell. Furthermore, fireball costs 28 mana to cast. Without enough mana, the spell fizzles (current mana: 20). Beyond that, the Forest environment prevents Fireball from forming: ambient moisture dampens the magic. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
2646,"On Desert terrain, a Striker at level 9 (46 mana, 76 HP, 8 strength, 15 defense) attack the Rogue. The target is a level 4 Rogue with Shielded status on Ruins (50 HP, 6 strength, 4 defense), distant from the attacker. ",Can the Striker attack the Rogue?,"<analysis>The target is out of melee range — physical attacks cannot reach. However, the target's Shield absorbs a portion of the incoming damage, reducing it by half. On top of that, the Desert environment makes it harder to land attacks — accuracy suffers. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
4388,"Paladin (level 1) occupies Desert terrain. Current stats: 34 mana, 23 HP, 16 strength, 8 defense. The target is a level 4 Guardian on Mountain (14 HP, 17 strength, 6 defense), adjacent to the attacker. The Paladin wants to attack the Guardian. The Paladin has Invisible status.",Can the Paladin attack the Guardian?,"<analysis>A sneak attack from Invisible status doubles the damage output, but reveals the attacker. Meanwhile, the attacker's strength exceeds the target's defense by more than 10, dealing devastating bonus damage. Compounding this, the Desert environment makes it harder to land attacks — accuracy suffers. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
1992,"A level 9 Ranger stands on Desert terrain with 27 mana and 77 HP (strength 13, defense 14). The target is a level 10 Ranger on Mountain (50 HP, 17 defense), distant from the caster. Ranger attempts to cast Shadowstep on the Ranger.",Can the Ranger cast Shadowstep on the Ranger?,"<analysis>A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 9). Additionally, a Ranger has no capacity for magic and cannot cast any spell. At the same time, the Desert environment prevents Shadowstep from forming: extreme heat destabilizes the spell structure. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
4274,"The Summoner is level 8, positioned on Desert with 58 HP and 27 mana remaining (4 strength, 6 defense). The target is a level 4 Striker with Stunned status on Ruins (58 HP, 4 strength, 5 defense), adjacent to the attacker. The unit tries to attack the Striker.",Can the Summoner attack the Striker?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. Compounding this, the Desert environment makes it harder to land attacks — accuracy suffers. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
5288,"The Rogue is level 10, positioned on Swamp with 41 HP and 22 mana remaining (14 strength, 10 defense). The unit tries to move to Mountain. The Rogue has Frozen and Invisible status.",Can the Rogue move to Mountain?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Additionally, while Frozen, performing any move action is impossible. At the same time, rogues cannot traverse Mountain terrain due to their physical limitations. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1097,"On Swamp terrain, a Ranger at level 2 (41 mana, 76 HP, 6 strength, 4 defense) attack the Rogue. The target is a level 10 Rogue on Mountain (73 HP, 18 strength, 11 defense), distant from the attacker. ",Can the Ranger attack the Rogue?,"<analysis>Rangers can attack at range with their bows, bypassing the adjacency requirement. Additionally, low-level Rangers (below 4) suffer a damage penalty on attacks (unit is level 2). On top of that, when the target's defense exceeds the attacker's strength, damage output drops significantly. However, melee attacks require the attacker to be adjacent to the target. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
373,"A Guardian of level 1 is on Mountain, carrying 21 mana with 24 HP left and combat stats of 16 strength and 13 defense. The target is a level 8 Summoner on Ruins (90 HP, 12 strength, 19 defense), distant from the attacker. The attempt: attack the Summoner.",Can the Guardian attack the Summoner?,"<analysis>Elevation advantage on Mountain terrain turns all attacks into ranged attacks. On top of that, the attacker's strength is lower than the target's defense, resulting in reduced damage. Additionally, the target is out of melee range — physical attacks cannot reach. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1632,"A Striker of level 3 is on Ruins, carrying 16 mana with 33 HP left and combat stats of 8 strength and 7 defense. The target is a level 5 Rogue on Ruins (100 HP, 17 defense), adjacent to the caster. The attempt: cast Lightning on the Rogue. The Striker has Frozen and Invisible status.",Can the Striker cast Lightning on the Rogue?,"<analysis>Frozen units cannot cast spells. The condition prevents all voluntary actions. At the same time, spellcasting is not available to Striker units — they have no magical ability. Beyond that, the Lightning spell demands 30 mana — anything less and the cast fails (current mana: 16). Meanwhile, casting Lightning in Ruins fails because residual dark energy interferes with the casting. However, only units of level 7 or higher can cast Lightning (unit is level 3). Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
800,"Summoner (level 10) occupies Ruins terrain. Current stats: 37 mana, 45 HP, 18 strength, 13 defense. The target is a level 4 Striker on Swamp (88 HP, 7 strength, 3 defense), adjacent to the attacker. The Summoner wants to attack the Striker. The Summoner has Frozen and Poisoned status.",Can the Summoner attack the Striker?,"<analysis>Frozen units cannot attack. The condition prevents all voluntary actions. Additionally, a strength advantage of 10 or more over the target's defense results in a crushing blow. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
4010,"A Healer of level 3 is on Ruins, carrying 48 mana with 31 HP left and combat stats of 16 strength and 20 defense. The target is a level 8 Healer on Mountain (60 HP, 12 defense), adjacent to the caster. The attempt: cast Rally on the Healer. The Healer has Frozen and Invisible status.",Can the Healer cast Rally on the Healer?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to cast spells. Compounding this, the close proximity of the target enhances Rally's effect, providing a stronger buff. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
4683,"The Ranger is level 7, positioned on Plains with 88 HP and 32 mana remaining (8 strength, 19 defense). The unit tries to move to Plains. The Ranger has Invisible status.",Can the Ranger move to Plains?,"<analysis>While Invisible, the unit slips through normally impassable terrain undetected. Furthermore, a Ranger finds Plains terrain incompatible with their movement capabilities. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
